"id""secteurdactivite""metier""typedecontrat""niveaudetude""experience""hardskills""softskills"
"1""Éducation formation""Informatique nouvelles technologies""CDI""Bac+5 et plus""Expérience > 10 ans""Null""autonomieorganisationrechercheclientclientrechercheclientrecherche"
"2""Ingénierie études développement Services autres""Informatique nouvelles technologies R&D gestion de projets""CDI""Bac+5 et plus""Expérience entre 5 ans et 10 ans""Null""rechercheautonomierecherche"
"3""Informatique SSII Internet Intérim recrutement Banque assurance finances Conseil audit comptabilité Télécom""Informatique nouvelles technologies""CDI""Bac+5 et plus""Expérience entre 5 ans et 10 ans""AnsibleJenkinsAnsibleLinuxPythonPython""rigueurrechercherechercheclientrecherche"
"4""Éducation formation""Informatique nouvelles technologies""CDI""Bac+2""Expérience entre 2 ans et 5 ans""MySQLJavaScriptPHPMySQL""Null"
"5""Informatique SSII Internet Intérim recrutement Banque assurance finances Conseil audit comptabilité Télécom""Informatique nouvelles technologies""CDI""Bac+5 et plus""Expérience entre 2 ans et 5 ans""OracleSQLPostgreSQLScriptingUnixLinuxSQL""rigueurrigueurrecherche"
"6""Informatique SSII Internet Intérim recrutement Banque assurance finances Conseil audit comptabilité Télécom""Informatique nouvelles technologies""CDI""Bac+5 et plus""Expérience entre 5 ans et 10 ans""ScriptingUnixOracleSQLSQL""recherchetransformationorganisationclientrecherchecollaboration"
"7""Informatique SSII Internet Intérim recrutement Banque assurance finances Conseil audit comptabilité Télécom""Informatique nouvelles technologies""CDI""Bac+5 et plus""Expérience > 10 ans""Null""rechercheclientrechercheclient"
"8""Informatique SSII Internet Intérim recrutement Banque assurance finances Conseil audit comptabilité Télécom""Informatique nouvelles technologies""CDI""Bac+5 et plus""Expérience entre 5 ans et 10 ans""AgileScrumJavaJavaAgilePythonPython""clientclientclientclientclientrechercherechercheclientrecherche"
"9""Informatique SSII Internet Intérim recrutement Banque assurance finances Conseil audit comptabilité Télécom""Informatique nouvelles technologies""Freelance""Bac+4""Expérience entre 5 ans et 10 ans""AngularReactDockerPostgreSQLAgileJavaJavaAgile""rechercheautonomieclientrechercherecherche"
"10""Intérim recrutement""Informatique nouvelles technologies Métiers des services""CDI""Bac+2""Débutant < 2 ans""Null""clientcollaborationclientclient"
"11""Informatique SSII Internet Intérim recrutement Banque assurance finances Conseil audit comptabilité Télécom""Informatique nouvelles technologies""CDI""Bac+5 et plus""Expérience entre 5 ans et 10 ans""Null""collaboration"
"12""Éducation formation""Informatique nouvelles technologies""CDI""Bac+5 et plus""Expérience > 10 ans""Null""autonomieorganisationrechercheclientclientrechercheclientrecherche"
"13""Ingénierie études développement Services autres""Informatique nouvelles technologies R&D gestion de projets""CDI""Bac+5 et plus""Expérience entre 5 ans et 10 ans""Null""rechercheautonomierecherche"
"14""Informatique SSII Internet Intérim recrutement Banque assurance finances Conseil audit comptabilité Télécom""Informatique nouvelles technologies""CDI""Bac+5 et plus""Expérience entre 5 ans et 10 ans""AnsibleJenkinsAnsibleLinuxPythonPython""rigueurrechercherechercheclientrecherche"
"15""Éducation formation""Informatique nouvelles technologies""CDI""Bac+2""Expérience entre 2 ans et 5 ans""MySQLJavaScriptPHPMySQL""Null"
"16""Informatique SSII Internet Intérim recrutement Banque assurance finances Conseil audit comptabilité Télécom""Informatique nouvelles technologies""CDI""Bac+5 et plus""Expérience entre 2 ans et 5 ans""OracleSQLPostgreSQLScriptingUnixLinuxSQL""rigueurrigueurrecherche"
"17""Informatique SSII Internet Intérim recrutement Banque assurance finances Conseil audit comptabilité Télécom""Informatique nouvelles technologies""CDI""Bac+5 et plus""Expérience entre 5 ans et 10 ans""ScriptingUnixOracleSQLSQL""recherchetransformationorganisationclientrecherchecollaboration"
"18""Informatique SSII Internet Intérim recrutement Banque assurance finances Conseil audit comptabilité Télécom""Informatique nouvelles technologies""CDI""Bac+5 et plus""Expérience > 10 ans""Null""rechercheclientrechercheclient"
"19""Informatique SSII Internet Intérim recrutement Banque assurance finances Conseil audit comptabilité Télécom""Informatique nouvelles technologies""CDI""Bac+5 et plus""Expérience entre 5 ans et 10 ans""AgileScrumJavaJavaAgilePythonPython""clientclientclientclientclientrechercherechercheclientrecherche"
"20""Informatique SSII Internet Intérim recrutement Banque assurance finances Conseil audit comptabilité Télécom""Informatique nouvelles technologies""Freelance""Bac+4""Expérience entre 5 ans et 10 ans""AngularReactDockerPostgreSQLAgileJavaJavaAgile""rechercheautonomieclientrechercherecherche"
"21""Intérim recrutement""Informatique nouvelles technologies Métiers des services""CDI""Bac+2""Débutant < 2 ans""Null""clientcollaborationclientclient"
"22""Informatique SSII Internet Intérim recrutement Banque assurance finances Conseil audit comptabilité Télécom""Informatique nouvelles technologies""CDI""Bac+5 et plus""Expérience entre 5 ans et 10 ans""Null""collaboration"
"23""Informatique SSII Internet Ingénierie études développement Intérim recrutement Conseil audit comptabilité""Informatique nouvelles technologies""Freelance""Bac+5 et plus""Expérience > 10 ans""Null""clientrechercheautonomie"
"24""Informatique SSII Internet Intérim recrutement Banque assurance finances Conseil audit comptabilité Télécom""Informatique nouvelles technologies""Freelance""Bac+5 et plus""Expérience entre 5 ans et 10 ans""LinuxPythonPython""rechercherechercheclientrecherche"
"25""Éducation formation""Informatique nouvelles technologies""CDI""Bac+5 et plus""Expérience > 10 ans""Null""autonomieorganisationrechercheclientclientrechercheclientrecherche"
"26""Ingénierie études développement Services autres""Informatique nouvelles technologies R&D gestion de projets""CDI""Bac+5 et plus""Expérience entre 5 ans et 10 ans""Null""rechercheautonomierecherche"
"27""Informatique SSII Internet Intérim recrutement Banque assurance finances Conseil audit comptabilité Télécom""Informatique nouvelles technologies""CDI""Bac+5 et plus""Expérience entre 5 ans et 10 ans""AnsibleJenkinsAnsibleLinuxPythonPython""rigueurrechercherechercheclientrecherche"
"28""Éducation formation""Informatique nouvelles technologies""CDI""Bac+2""Expérience entre 2 ans et 5 ans""MySQLJavaScriptPHPMySQL""Null"
"29""Informatique SSII Internet Intérim recrutement Banque assurance finances Conseil audit comptabilité Télécom""Informatique nouvelles technologies""CDI""Bac+5 et plus""Expérience entre 2 ans et 5 ans""OracleSQLPostgreSQLScriptingUnixLinuxSQL""rigueurrigueurrecherche"
"30""Informatique SSII Internet Intérim recrutement Banque assurance finances Conseil audit comptabilité Télécom""Informatique nouvelles technologies""CDI""Bac+5 et plus""Expérience entre 5 ans et 10 ans""ScriptingUnixOracleSQLSQL""recherchetransformationorganisationclientrecherchecollaboration"
"31""Informatique SSII Internet Intérim recrutement Banque assurance finances Conseil audit comptabilité Télécom""Informatique nouvelles technologies""CDI""Bac+5 et plus""Expérience > 10 ans""Null""rechercheclientrechercheclient"
"32""Informatique SSII Internet Intérim recrutement Banque assurance finances Conseil audit comptabilité Télécom""Informatique nouvelles technologies""CDI""Bac+5 et plus""Expérience entre 5 ans et 10 ans""AgileScrumJavaJavaAgilePythonPython""clientclientclientclientclientrechercherechercheclientrecherche"
"33""Informatique SSII Internet Intérim recrutement Banque assurance finances Conseil audit comptabilité Télécom""Informatique nouvelles technologies""Freelance""Bac+4""Expérience entre 5 ans et 10 ans""AngularReactDockerPostgreSQLAgileJavaJavaAgile""rechercheautonomieclientrechercherecherche"
"34""Intérim recrutement""Informatique nouvelles technologies Métiers des services""CDI""Bac+2""Débutant < 2 ans""Null""clientcollaborationclientclient"
"35""Informatique SSII Internet Intérim recrutement Banque assurance finances Conseil audit comptabilité Télécom""Informatique nouvelles technologies""CDI""Bac+5 et plus""Expérience entre 5 ans et 10 ans""Null""collaboration"
"36""Informatique SSII Internet Ingénierie études développement Intérim recrutement Conseil audit comptabilité""Informatique nouvelles technologies""Freelance""Bac+5 et plus""Expérience > 10 ans""Null""clientrechercheautonomie"
